course_name,field,duration_years,description,skill_tags,rated
Certificate in Computer Engineering,Hospitality,6,This course focuses on developing skills in hospitality and practical training in engineering.,"financial analysis, accounting",True
Bachelor of Cybersecurity,Business,3,This course focuses on developing skills in business and practical training in cybersecurity.,"critical thinking, research",True
Certificate in Data Science,Engineering,3,This course focuses on developing skills in engineering and practical training in science.,"critical thinking, research",False
Diploma in Culinary Arts,Medicine,4,This course focuses on developing skills in medicine and practical training in arts.,"project management, leadership",True
Certificate in Data Science,Business,1,This course focuses on developing skills in business and practical training in science.,"programming, algorithms, software development",True
Bachelor of Graphic Design,Media,2,This course focuses on developing skills in media and practical training in design.,"legal analysis, case interpretation",True
Certificate in Computer Engineering,Engineering,2,This course focuses on developing skills in engineering and practical training in engineering.,"programming, algorithms, software development",False
Diploma in Telecommunications,Computer Science,4,This course focuses on developing skills in computer science and practical training in telecommunications.,"communication, public speaking",False
Bachelor of Accounting,Arts,5,This course focuses on developing skills in arts and practical training in accounting.,"clinical practice, patient care",False
Certificate in Human Resource Management,Education,5,This course focuses on developing skills in education and practical training in management.,"communication, public speaking",False
Certificate in Data Science,Business,6,This course focuses on developing skills in business and practical training in science.,"programming, algorithms, software development",False
Bachelor of Nursing,Design,1,This course focuses on developing skills in design and practical training in nursing.,"networking, cybersecurity",False
Diploma in Civil Engineering,Agriculture,4,This course focuses on developing skills in agriculture and practical training in engineering.,"communication, public speaking",False
Diploma in Business Administration,Media,4,This course focuses on developing skills in media and practical training in administration.,"programming, algorithms, software development",False
Bachelor of Computer Engineering,Medicine,5,This course focuses on developing skills in medicine and practical training in engineering.,"data analysis, statistics",False
Certificate in Agronomy,Design,1,This course focuses on developing skills in design and practical training in agronomy.,"networking, cybersecurity",False
Certificate in Agronomy,Engineering,6,This course focuses on developing skills in engineering and practical training in agronomy.,"critical thinking, research",False
Certificate in Psychology,Design,2,This course focuses on developing skills in design and practical training in psychology.,"creative design, illustration",False
Certificate in Data Science,Psychology,5,This course focuses on developing skills in psychology and practical training in science.,"legal analysis, case interpretation",False
Certificate in Graphic Design,Design,2,This course focuses on developing skills in design and practical training in design.,"project management, leadership",False
Bachelor of Civil Engineering,Media,6,This course focuses on developing skills in media and practical training in engineering.,"critical thinking, research",True
Diploma in Human Resource Management,Business,3,This course focuses on developing skills in business and practical training in management.,"creative design, illustration",False
Certificate in Cybersecurity,Agriculture,5,This course focuses on developing skills in agriculture and practical training in cybersecurity.,"programming, algorithms, software development",False
Certificate in Accounting,Arts,4,This course focuses on developing skills in arts and practical training in accounting.,"data analysis, statistics",False
Bachelor of Culinary Arts,Medicine,6,This course focuses on developing skills in medicine and practical training in arts.,"communication, public speaking",False
Diploma in Data Science,Medicine,2,This course focuses on developing skills in medicine and practical training in science.,"financial analysis, accounting",True
Certificate in Animal Health,Psychology,4,This course focuses on developing skills in psychology and practical training in health.,"communication, public speaking",False
Certificate in Business Administration,Psychology,5,This course focuses on developing skills in psychology and practical training in administration.,"networking, cybersecurity",True
Diploma in Software Development,Engineering,4,This course focuses on developing skills in engineering and practical training in development.,"financial analysis, accounting",True
Certificate in Fine Arts,Business,3,This course focuses on developing skills in business and practical training in arts.,"data analysis, statistics",True
Certificate in Computer Engineering,Arts,3,This course focuses on developing skills in arts and practical training in engineering.,"creative design, illustration",True
Certificate in Fine Arts,Education,3,This course focuses on developing skills in education and practical training in arts.,"legal analysis, case interpretation",True
Diploma in Journalism,Medicine,4,This course focuses on developing skills in medicine and practical training in journalism.,"project management, leadership",True
Certificate in Software Development,Agriculture,4,This course focuses on developing skills in agriculture and practical training in development.,"communication, public speaking",False
Diploma in Animal Health,Arts,5,This course focuses on developing skills in arts and practical training in health.,"clinical practice, patient care",True
Certificate in Agronomy,Medicine,1,This course focuses on developing skills in medicine and practical training in agronomy.,"networking, cybersecurity",False
Bachelor of Project Management,Medicine,3,This course focuses on developing skills in medicine and practical training in management.,"legal analysis, case interpretation",True
Bachelor of Civil Engineering,Arts,4,This course focuses on developing skills in arts and practical training in engineering.,"clinical practice, patient care",True
Diploma in Fine Arts,Engineering,1,This course focuses on developing skills in engineering and practical training in arts.,"legal analysis, case interpretation",True
Certificate in Psychology,Computer Science,6,This course focuses on developing skills in computer science and practical training in psychology.,"communication, public speaking",True
Certificate in Computer Engineering,Business,3,This course focuses on developing skills in business and practical training in engineering.,"critical thinking, research",False
Certificate in Film Production,Psychology,4,This course focuses on developing skills in psychology and practical training in production.,"networking, cybersecurity",False
Certificate in Graphic Design,Education,6,This course focuses on developing skills in education and practical training in design.,"legal analysis, case interpretation",True
Bachelor of Cybersecurity,Media,6,This course focuses on developing skills in media and practical training in cybersecurity.,"financial analysis, accounting",False
Bachelor of Psychology,Education,1,This course focuses on developing skills in education and practical training in psychology.,"communication, public speaking",False
Bachelor of Film Production,Psychology,4,This course focuses on developing skills in psychology and practical training in production.,"clinical practice, patient care",True
Bachelor of Software Development,Engineering,5,This course focuses on developing skills in engineering and practical training in development.,"legal analysis, case interpretation",False
Diploma in Civil Engineering,Business,2,This course focuses on developing skills in business and practical training in engineering.,"critical thinking, research",False
Bachelor of Computer Engineering,Agriculture,3,This course focuses on developing skills in agriculture and practical training in engineering.,"data analysis, statistics",False
Certificate in Data Science,Education,2,This course focuses on developing skills in education and practical training in science.,"programming, algorithms, software development",True
Certificate in Cybersecurity,Law,3,This course focuses on developing skills in law and practical training in cybersecurity.,"data analysis, statistics",False
Bachelor of Journalism,Media,4,This course focuses on developing skills in media and practical training in journalism.,"clinical practice, patient care",False
Diploma in Software Development,Computer Science,4,This course focuses on developing skills in computer science and practical training in development.,"creative design, illustration",True
Bachelor of Agronomy,Agriculture,5,This course focuses on developing skills in agriculture and practical training in agronomy.,"clinical practice, patient care",False
Bachelor of Software Development,Psychology,5,This course focuses on developing skills in psychology and practical training in development.,"financial analysis, accounting",False
Diploma in Telecommunications,Computer Science,2,This course focuses on developing skills in computer science and practical training in telecommunications.,"communication, public speaking",False
Bachelor of Data Science,Business,5,This course focuses on developing skills in business and practical training in science.,"project management, leadership",False
Bachelor of Film Production,Medicine,2,This course focuses on developing skills in medicine and practical training in production.,"creative design, illustration",True
Certificate in Computer Engineering,Media,3,This course focuses on developing skills in media and practical training in engineering.,"creative design, illustration",False
Bachelor of Fine Arts,Medicine,6,This course focuses on developing skills in medicine and practical training in arts.,"legal analysis, case interpretation",True
Diploma in Psychology,Education,6,This course focuses on developing skills in education and practical training in psychology.,"networking, cybersecurity",True
Certificate in Animal Health,Education,2,This course focuses on developing skills in education and practical training in health.,"networking, cybersecurity",False
Bachelor of Data Science,Medicine,1,This course focuses on developing skills in medicine and practical training in science.,"legal analysis, case interpretation",False
Diploma in Human Resource Management,Medicine,2,This course focuses on developing skills in medicine and practical training in management.,"clinical practice, patient care",False
Certificate in Human Resource Management,Medicine,4,This course focuses on developing skills in medicine and practical training in management.,"critical thinking, research",False
Diploma in Telecommunications,Education,4,This course focuses on developing skills in education and practical training in telecommunications.,"communication, public speaking",False
Diploma in Animal Health,Computer Science,3,This course focuses on developing skills in computer science and practical training in health.,"legal analysis, case interpretation",False
Diploma in Computer Engineering,Law,3,This course focuses on developing skills in law and practical training in engineering.,"project management, leadership",True
Certificate in Psychology,Hospitality,4,This course focuses on developing skills in hospitality and practical training in psychology.,"project management, leadership",True
Diploma in Computer Engineering,Arts,6,This course focuses on developing skills in arts and practical training in engineering.,"clinical practice, patient care",True
Bachelor of Film Production,Computer Science,3,This course focuses on developing skills in computer science and practical training in production.,"communication, public speaking",False
Diploma in Animal Health,Hospitality,3,This course focuses on developing skills in hospitality and practical training in health.,"clinical practice, patient care",False
Certificate in Business Administration,Computer Science,1,This course focuses on developing skills in computer science and practical training in administration.,"networking, cybersecurity",False
Certificate in Telecommunications,Education,3,This course focuses on developing skills in education and practical training in telecommunications.,"data analysis, statistics",True
Certificate in Psychology,Medicine,4,This course focuses on developing skills in medicine and practical training in psychology.,"creative design, illustration",False
Certificate in Marketing,Computer Science,4,This course focuses on developing skills in computer science and practical training in marketing.,"legal analysis, case interpretation",True
Certificate in Journalism,Computer Science,1,This course focuses on developing skills in computer science and practical training in journalism.,"clinical practice, patient care",False
Diploma in Cybersecurity,Agriculture,5,This course focuses on developing skills in agriculture and practical training in cybersecurity.,"programming, algorithms, software development",True
Certificate in Fine Arts,Education,4,This course focuses on developing skills in education and practical training in arts.,"financial analysis, accounting",True
Certificate in Cybersecurity,Engineering,6,This course focuses on developing skills in engineering and practical training in cybersecurity.,"communication, public speaking",False
Certificate in Project Management,Hospitality,4,This course focuses on developing skills in hospitality and practical training in management.,"data analysis, statistics",False
Certificate in Human Resource Management,Psychology,3,This course focuses on developing skills in psychology and practical training in management.,"legal analysis, case interpretation",False
Diploma in Accounting,Design,4,This course focuses on developing skills in design and practical training in accounting.,"clinical practice, patient care",True
Certificate in Telecommunications,Psychology,5,This course focuses on developing skills in psychology and practical training in telecommunications.,"financial analysis, accounting",True
Certificate in Journalism,Media,3,This course focuses on developing skills in media and practical training in journalism.,"communication, public speaking",False
Bachelor of Computer Engineering,Engineering,6,This course focuses on developing skills in engineering and practical training in engineering.,"critical thinking, research",True
Diploma in Journalism,Design,6,This course focuses on developing skills in design and practical training in journalism.,"networking, cybersecurity",False
Diploma in Psychology,Agriculture,2,This course focuses on developing skills in agriculture and practical training in psychology.,"networking, cybersecurity",True
Certificate in Fine Arts,Business,1,This course focuses on developing skills in business and practical training in arts.,"data analysis, statistics",False
Bachelor of Film Production,Design,6,This course focuses on developing skills in design and practical training in production.,"critical thinking, research",False
Diploma in Film Production,Engineering,3,This course focuses on developing skills in engineering and practical training in production.,"clinical practice, patient care",False
Certificate in Journalism,Arts,6,This course focuses on developing skills in arts and practical training in journalism.,"financial analysis, accounting",True
Diploma in Computer Engineering,Agriculture,1,This course focuses on developing skills in agriculture and practical training in engineering.,"legal analysis, case interpretation",False
Bachelor of Marketing,Business,3,This course focuses on developing skills in business and practical training in marketing.,"critical thinking, research",False
Bachelor of Culinary Arts,Business,3,This course focuses on developing skills in business and practical training in arts.,"communication, public speaking",False
Certificate in Film Production,Psychology,6,This course focuses on developing skills in psychology and practical training in production.,"financial analysis, accounting",False
Bachelor of Human Resource Management,Arts,4,This course focuses on developing skills in arts and practical training in management.,"communication, public speaking",False
Bachelor of Marketing,Design,4,This course focuses on developing skills in design and practical training in marketing.,"data analysis, statistics",True
Diploma in Accounting,Agriculture,2,This course focuses on developing skills in agriculture and practical training in accounting.,"financial analysis, accounting",False
Diploma in Nursing,Design,3,This course focuses on developing skills in design and practical training in nursing.,"programming, algorithms, software development",False
Certificate in Data Science,Psychology,1,This course focuses on developing skills in psychology and practical training in science.,"creative design, illustration",True
Certificate in Human Resource Management,Computer Science,3,This course focuses on developing skills in computer science and practical training in management.,"communication, public speaking",False
Diploma in Nursing,Design,2,This course focuses on developing skills in design and practical training in nursing.,"creative design, illustration",False
Diploma in Human Resource Management,Business,3,This course focuses on developing skills in business and practical training in management.,"clinical practice, patient care",True
Certificate in Computer Engineering,Computer Science,5,This course focuses on developing skills in computer science and practical training in engineering.,"critical thinking, research",True
Certificate in Software Development,Arts,2,This course focuses on developing skills in arts and practical training in development.,"financial analysis, accounting",True
Diploma in Psychology,Psychology,1,This course focuses on developing skills in psychology and practical training in psychology.,"networking, cybersecurity",False
Diploma in Culinary Arts,Arts,4,This course focuses on developing skills in arts and practical training in arts.,"project management, leadership",True
Bachelor of Film Production,Agriculture,2,This course focuses on developing skills in agriculture and practical training in production.,"critical thinking, research",True
Diploma in Graphic Design,Arts,1,This course focuses on developing skills in arts and practical training in design.,"networking, cybersecurity",True
Certificate in Culinary Arts,Design,1,This course focuses on developing skills in design and practical training in arts.,"financial analysis, accounting",True
Bachelor of Accounting,Education,4,This course focuses on developing skills in education and practical training in accounting.,"critical thinking, research",False
Certificate in Data Science,Hospitality,4,This course focuses on developing skills in hospitality and practical training in science.,"programming, algorithms, software development",True
Certificate in Software Development,Arts,2,This course focuses on developing skills in arts and practical training in development.,"legal analysis, case interpretation",False
Diploma in Cybersecurity,Design,4,This course focuses on developing skills in design and practical training in cybersecurity.,"critical thinking, research",True
Certificate in Cybersecurity,Business,2,This course focuses on developing skills in business and practical training in cybersecurity.,"programming, algorithms, software development",False
Diploma in Graphic Design,Agriculture,4,This course focuses on developing skills in agriculture and practical training in design.,"clinical practice, patient care",True
Certificate in Computer Engineering,Arts,2,This course focuses on developing skills in arts and practical training in engineering.,"communication, public speaking",False
Certificate in Cybersecurity,Business,6,This course focuses on developing skills in business and practical training in cybersecurity.,"critical thinking, research",False
Bachelor of Cybersecurity,Education,5,This course focuses on developing skills in education and practical training in cybersecurity.,"critical thinking, research",True
Certificate in Civil Engineering,Law,1,This course focuses on developing skills in law and practical training in engineering.,"legal analysis, case interpretation",False
Bachelor of Computer Engineering,Education,5,This course focuses on developing skills in education and practical training in engineering.,"programming, algorithms, software development",True
Bachelor of Film Production,Psychology,2,This course focuses on developing skills in psychology and practical training in production.,"clinical practice, patient care",False
Certificate in Culinary Arts,Agriculture,6,This course focuses on developing skills in agriculture and practical training in arts.,"networking, cybersecurity",False
Bachelor of Computer Engineering,Medicine,4,This course focuses on developing skills in medicine and practical training in engineering.,"programming, algorithms, software development",False
Certificate in Software Development,Engineering,6,This course focuses on developing skills in engineering and practical training in development.,"networking, cybersecurity",True
Certificate in Animal Health,Hospitality,2,This course focuses on developing skills in hospitality and practical training in health.,"networking, cybersecurity",False
Diploma in Fine Arts,Agriculture,5,This course focuses on developing skills in agriculture and practical training in arts.,"critical thinking, research",True
Certificate in Project Management,Law,5,This course focuses on developing skills in law and practical training in management.,"project management, leadership",False
Certificate in Accounting,Arts,3,This course focuses on developing skills in arts and practical training in accounting.,"critical thinking, research",True
Bachelor of Culinary Arts,Design,4,This course focuses on developing skills in design and practical training in arts.,"networking, cybersecurity",False
Bachelor of Human Resource Management,Design,3,This course focuses on developing skills in design and practical training in management.,"critical thinking, research",True
Bachelor of Nursing,Computer Science,6,This course focuses on developing skills in computer science and practical training in nursing.,"data analysis, statistics",True
Bachelor of Civil Engineering,Psychology,5,This course focuses on developing skills in psychology and practical training in engineering.,"legal analysis, case interpretation",True
Bachelor of Human Resource Management,Law,2,This course focuses on developing skills in law and practical training in management.,"clinical practice, patient care",False
Bachelor of Software Development,Media,4,This course focuses on developing skills in media and practical training in development.,"programming, algorithms, software development",False
Certificate in Accounting,Arts,1,This course focuses on developing skills in arts and practical training in accounting.,"creative design, illustration",False
Certificate in Human Resource Management,Media,5,This course focuses on developing skills in media and practical training in management.,"legal analysis, case interpretation",True
Certificate in Computer Engineering,Psychology,4,This course focuses on developing skills in psychology and practical training in engineering.,"critical thinking, research",True
Certificate in Nursing,Education,4,This course focuses on developing skills in education and practical training in nursing.,"legal analysis, case interpretation",False
Diploma in Animal Health,Engineering,4,This course focuses on developing skills in engineering and practical training in health.,"critical thinking, research",False
Bachelor of Film Production,Education,4,This course focuses on developing skills in education and practical training in production.,"data analysis, statistics",True
Diploma in Journalism,Education,2,This course focuses on developing skills in education and practical training in journalism.,"financial analysis, accounting",True
Diploma in Cybersecurity,Engineering,1,This course focuses on developing skills in engineering and practical training in cybersecurity.,"networking, cybersecurity",False
Bachelor of Graphic Design,Law,2,This course focuses on developing skills in law and practical training in design.,"financial analysis, accounting",False
Certificate in Cybersecurity,Psychology,2,This course focuses on developing skills in psychology and practical training in cybersecurity.,"programming, algorithms, software development",False
Certificate in Journalism,Education,1,This course focuses on developing skills in education and practical training in journalism.,"financial analysis, accounting",True
Certificate in Civil Engineering,Engineering,6,This course focuses on developing skills in engineering and practical training in engineering.,"programming, algorithms, software development",False
Certificate in Cybersecurity,Business,6,This course focuses on developing skills in business and practical training in cybersecurity.,"creative design, illustration",True
Certificate in Business Administration,Agriculture,5,This course focuses on developing skills in agriculture and practical training in administration.,"communication, public speaking",True
Certificate in Animal Health,Psychology,4,This course focuses on developing skills in psychology and practical training in health.,"data analysis, statistics",False
Bachelor of Telecommunications,Computer Science,1,This course focuses on developing skills in computer science and practical training in telecommunications.,"clinical practice, patient care",False
Certificate in Animal Health,Arts,6,This course focuses on developing skills in arts and practical training in health.,"networking, cybersecurity",False
Bachelor of Accounting,Business,5,This course focuses on developing skills in business and practical training in accounting.,"creative design, illustration",False
Bachelor of Culinary Arts,Education,2,This course focuses on developing skills in education and practical training in arts.,"legal analysis, case interpretation",False
Bachelor of Human Resource Management,Education,1,This course focuses on developing skills in education and practical training in management.,"financial analysis, accounting",True
Bachelor of Marketing,Media,4,This course focuses on developing skills in media and practical training in marketing.,"communication, public speaking",False
Bachelor of Fine Arts,Education,3,This course focuses on developing skills in education and practical training in arts.,"financial analysis, accounting",False
Diploma in Human Resource Management,Education,2,This course focuses on developing skills in education and practical training in management.,"project management, leadership",True
Bachelor of Data Science,Arts,6,This course focuses on developing skills in arts and practical training in science.,"networking, cybersecurity",False
Bachelor of Data Science,Medicine,3,This course focuses on developing skills in medicine and practical training in science.,"critical thinking, research",False
Bachelor of Project Management,Law,4,This course focuses on developing skills in law and practical training in management.,"communication, public speaking",False
Certificate in Software Development,Law,1,This course focuses on developing skills in law and practical training in development.,"legal analysis, case interpretation",True
Certificate in Animal Health,Hospitality,2,This course focuses on developing skills in hospitality and practical training in health.,"critical thinking, research",False
Diploma in Cybersecurity,Business,2,This course focuses on developing skills in business and practical training in cybersecurity.,"financial analysis, accounting",False
Certificate in Graphic Design,Medicine,4,This course focuses on developing skills in medicine and practical training in design.,"data analysis, statistics",True
Diploma in Cybersecurity,Law,6,This course focuses on developing skills in law and practical training in cybersecurity.,"clinical practice, patient care",False
Diploma in Animal Health,Arts,6,This course focuses on developing skills in arts and practical training in health.,"networking, cybersecurity",True
Bachelor of Journalism,Design,1,This course focuses on developing skills in design and practical training in journalism.,"creative design, illustration",False
Certificate in Human Resource Management,Psychology,4,This course focuses on developing skills in psychology and practical training in management.,"programming, algorithms, software development",True
Certificate in Civil Engineering,Education,5,This course focuses on developing skills in education and practical training in engineering.,"networking, cybersecurity",False
Bachelor of Film Production,Media,2,This course focuses on developing skills in media and practical training in production.,"programming, algorithms, software development",False
Certificate in Civil Engineering,Law,6,This course focuses on developing skills in law and practical training in engineering.,"financial analysis, accounting",True
Diploma in Data Science,Arts,5,This course focuses on developing skills in arts and practical training in science.,"programming, algorithms, software development",True
Bachelor of Computer Engineering,Hospitality,3,This course focuses on developing skills in hospitality and practical training in engineering.,"creative design, illustration",False
Diploma in Project Management,Agriculture,1,This course focuses on developing skills in agriculture and practical training in management.,"financial analysis, accounting",True
Diploma in Psychology,Medicine,1,This course focuses on developing skills in medicine and practical training in psychology.,"networking, cybersecurity",True
Bachelor of Computer Engineering,Business,4,This course focuses on developing skills in business and practical training in engineering.,"clinical practice, patient care",True
Bachelor of Agronomy,Medicine,5,This course focuses on developing skills in medicine and practical training in agronomy.,"project management, leadership",True
Certificate in Nursing,Law,5,This course focuses on developing skills in law and practical training in nursing.,"financial analysis, accounting",True
Certificate in Animal Health,Engineering,4,This course focuses on developing skills in engineering and practical training in health.,"clinical practice, patient care",True
Diploma in Marketing,Medicine,2,This course focuses on developing skills in medicine and practical training in marketing.,"networking, cybersecurity",False
Diploma in Journalism,Psychology,3,This course focuses on developing skills in psychology and practical training in journalism.,"critical thinking, research",False
Bachelor of Journalism,Business,4,This course focuses on developing skills in business and practical training in journalism.,"programming, algorithms, software development",False
Certificate in Cybersecurity,Education,3,This course focuses on developing skills in education and practical training in cybersecurity.,"legal analysis, case interpretation",False
Diploma in Journalism,Medicine,4,This course focuses on developing skills in medicine and practical training in journalism.,"legal analysis, case interpretation",True
Certificate in Cybersecurity,Law,6,This course focuses on developing skills in law and practical training in cybersecurity.,"networking, cybersecurity",True
Diploma in Culinary Arts,Business,5,This course focuses on developing skills in business and practical training in arts.,"legal analysis, case interpretation",True
Bachelor of Film Production,Law,3,This course focuses on developing skills in law and practical training in production.,"networking, cybersecurity",False
Certificate in Graphic Design,Hospitality,1,This course focuses on developing skills in hospitality and practical training in design.,"data analysis, statistics",False
Diploma in Computer Engineering,Law,6,This course focuses on developing skills in law and practical training in engineering.,"data analysis, statistics",True
Bachelor of Graphic Design,Education,4,This course focuses on developing skills in education and practical training in design.,"data analysis, statistics",False
Diploma in Graphic Design,Hospitality,2,This course focuses on developing skills in hospitality and practical training in design.,"communication, public speaking",True
Certificate in Journalism,Law,4,This course focuses on developing skills in law and practical training in journalism.,"project management, leadership",True
Certificate in Culinary Arts,Agriculture,1,This course focuses on developing skills in agriculture and practical training in arts.,"data analysis, statistics",False
Bachelor of Project Management,Business,2,This course focuses on developing skills in business and practical training in management.,"data analysis, statistics",False
Bachelor of Software Development,Engineering,5,This course focuses on developing skills in engineering and practical training in development.,"project management, leadership",True
Bachelor of Animal Health,Medicine,4,This course focuses on developing skills in medicine and practical training in health.,"communication, public speaking",False
Diploma in Telecommunications,Medicine,4,This course focuses on developing skills in medicine and practical training in telecommunications.,"project management, leadership",False
Bachelor of Marketing,Agriculture,2,This course focuses on developing skills in agriculture and practical training in marketing.,"communication, public speaking",True
Diploma in Cybersecurity,Medicine,2,This course focuses on developing skills in medicine and practical training in cybersecurity.,"data analysis, statistics",False
Certificate in Fine Arts,Law,3,This course focuses on developing skills in law and practical training in arts.,"programming, algorithms, software development",False
Diploma in Civil Engineering,Hospitality,2,This course focuses on developing skills in hospitality and practical training in engineering.,"programming, algorithms, software development",False
Diploma in Film Production,Medicine,3,This course focuses on developing skills in medicine and practical training in production.,"financial analysis, accounting",False
Certificate in Project Management,Agriculture,6,This course focuses on developing skills in agriculture and practical training in management.,"project management, leadership",True
Bachelor of Software Development,Media,2,This course focuses on developing skills in media and practical training in development.,"financial analysis, accounting",False
Diploma in Agronomy,Arts,1,This course focuses on developing skills in arts and practical training in agronomy.,"critical thinking, research",False
Bachelor of Civil Engineering,Medicine,3,This course focuses on developing skills in medicine and practical training in engineering.,"financial analysis, accounting",True
Diploma in Fine Arts,Hospitality,3,This course focuses on developing skills in hospitality and practical training in arts.,"project management, leadership",True
Diploma in Computer Engineering,Psychology,5,This course focuses on developing skills in psychology and practical training in engineering.,"critical thinking, research",True
Bachelor of Cybersecurity,Law,1,This course focuses on developing skills in law and practical training in cybersecurity.,"programming, algorithms, software development",False
Bachelor of Computer Engineering,Design,4,This course focuses on developing skills in design and practical training in engineering.,"clinical practice, patient care",True
Certificate in Project Management,Medicine,2,This course focuses on developing skills in medicine and practical training in management.,"programming, algorithms, software development",True
Bachelor of Fine Arts,Agriculture,6,This course focuses on developing skills in agriculture and practical training in arts.,"data analysis, statistics",True
Bachelor of Data Science,Medicine,5,This course focuses on developing skills in medicine and practical training in science.,"data analysis, statistics",False
Bachelor of Film Production,Design,6,This course focuses on developing skills in design and practical training in production.,"financial analysis, accounting",True
Diploma in Journalism,Psychology,6,This course focuses on developing skills in psychology and practical training in journalism.,"communication, public speaking",False
Certificate in Cybersecurity,Hospitality,1,This course focuses on developing skills in hospitality and practical training in cybersecurity.,"project management, leadership",True
Certificate in Psychology,Computer Science,2,This course focuses on developing skills in computer science and practical training in psychology.,"data analysis, statistics",False
Bachelor of Data Science,Media,3,This course focuses on developing skills in media and practical training in science.,"networking, cybersecurity",True
Bachelor of Accounting,Media,1,This course focuses on developing skills in media and practical training in accounting.,"critical thinking, research",False
Certificate in Journalism,Education,4,This course focuses on developing skills in education and practical training in journalism.,"communication, public speaking",True
Diploma in Data Science,Computer Science,4,This course focuses on developing skills in computer science and practical training in science.,"critical thinking, research",False
Diploma in Computer Engineering,Medicine,5,This course focuses on developing skills in medicine and practical training in engineering.,"financial analysis, accounting",False
Bachelor of Psychology,Psychology,5,This course focuses on developing skills in psychology and practical training in psychology.,"creative design, illustration",True
Certificate in Telecommunications,Education,6,This course focuses on developing skills in education and practical training in telecommunications.,"project management, leadership",True
Diploma in Project Management,Law,2,This course focuses on developing skills in law and practical training in management.,"data analysis, statistics",False
Bachelor of Fine Arts,Design,1,This course focuses on developing skills in design and practical training in arts.,"communication, public speaking",True
Certificate in Cybersecurity,Design,3,This course focuses on developing skills in design and practical training in cybersecurity.,"legal analysis, case interpretation",True
Diploma in Cybersecurity,Medicine,1,This course focuses on developing skills in medicine and practical training in cybersecurity.,"programming, algorithms, software development",False
Certificate in Computer Engineering,Hospitality,5,This course focuses on developing skills in hospitality and practical training in engineering.,"clinical practice, patient care",True
Bachelor of Business Administration,Education,5,This course focuses on developing skills in education and practical training in administration.,"programming, algorithms, software development",False
Certificate in Marketing,Hospitality,4,This course focuses on developing skills in hospitality and practical training in marketing.,"programming, algorithms, software development",False
Bachelor of Telecommunications,Arts,4,This course focuses on developing skills in arts and practical training in telecommunications.,"financial analysis, accounting",True
Certificate in Computer Engineering,Arts,5,This course focuses on developing skills in arts and practical training in engineering.,"creative design, illustration",False
Certificate in Civil Engineering,Computer Science,6,This course focuses on developing skills in computer science and practical training in engineering.,"clinical practice, patient care",True
